chain_id,name
14057,Cl̩ vacances
14058,Garibaldi Hotels
14059,Phi Hotels
14060,Garrya
14061,Escape
14062,Sokos Hotels (Radisson)
14063,KAO
14067,Everhome Suites
14068,Sheraton Vacation Club
14069,Westin Vacation Club
14070,Bluserena
14071,Blueberry Hospitality
14088,Anantara Hotels (NH)
14089,Tivoli Hotels (NH)
14090,America Best Value Inn
14092,Canada Best Value Inn
14093,Hotel RL
14094,Jameson Inn
14095,Knights Inn
14096,Knights Inn and Suites
14097,Lexington by Red Lion
14098,Red Lion Hotels
14099,Red Lion Inn & Suites
14100,GuestHouse Extended Stay
14101,Signature Inn
14103,GRANBELL HOTEL
14104,Hotel Green Chain Sendai
14109,The Mosaic Collection
14110,sequence
14111,THE CELESTINE HOTELS
14113,Dragonfly Strategists
14114,L7 Hotels
14115,Lotte City Hotels
14116,Lotte Resort
14117,Signiel
14120,Pan Pacific Serviced Suites
14121,PARKROYAL Serviced Suites
14122,THE POCKET HOTEL
14123,Sotetsu Grand Fresa
14128,Henann Group Resorts
14129,Orchid Hotels and Resorts
14130,Cordis
14131,Eaton
14133,Sokos Hotels
14134,Seda Hotels
14236,The Inn Collection Group
